date,MKT(3F),SMB(3F),HML(3F),MKT(5F),SMB(5F),HML(5F),RMW(5F),CMA(5F)
1964-12,0.03,-0.35,-2.48,0.03,-0.69,-2.48,1.07,-1.5
1965-01,3.54,2.7,0.12,3.54,2.44,0.12,0.91,0.1
1965-02,0.44,3.55,0.11,0.44,3.31,0.11,0.23,-0.68
1965-03,-1.34,1.89,1.03,-1.34,2.12,1.03,-0.32,0.69
1965-04,3.11,1.1,0.66,3.11,1.05,0.66,0.3,-2.2
1965-05,-0.77,0.11,-1.61,-0.77,0.1,-1.61,-0.45,0.53
1965-06,-5.51,-4.34,0.59,-5.51,-4.28,0.59,0.22,0.37
1965-07,1.43,0.89,2.2,1.43,1.08,2.2,-1.37,0.03
1965-08,2.73,2.84,-1.0,2.73,2.71,-1.0,1.9,-0.74
1965-09,2.86,0.64,-0.13,2.86,0.62,-0.13,-0.89,0.8
1965-10,2.6,2.52,1.56,2.6,3.47,1.56,1.17,-0.65
1965-11,-0.03,4.68,0.15,-0.03,5.19,0.15,-1.01,-0.94
1965-12,1.01,2.06,2.03,1.01,2.66,2.03,-1.14,-0.53
1966-01,0.72,3.84,3.56,0.72,4.68,3.56,-2.82,-0.11
1966-02,-1.21,4.4,0.33,-1.21,4.71,0.33,-0.17,-1.49
1966-03,-2.51,0.99,-1.98,-2.51,0.32,-1.98,1.3,0.06
1966-04,2.14,3.43,-0.46,2.14,3.35,-0.46,0.39,-0.95
1966-05,-5.66,-4.6,-1.63,-5.66,-5.1,-1.63,1.64,-1.52
1966-06,-1.44,1.03,0.5,-1.44,1.37,0.5,0.15,0.78
1966-07,-1.63,-0.36,0.95,-1.63,-0.41,0.95,-0.36,1.79
1966-08,-7.91,-3.27,0.43,-7.91,-3.12,0.43,-0.09,0.8
1966-09,-1.06,-1.04,0.56,-1.06,-1.14,0.56,-1.68,2.37
1966-10,3.86,-6.52,2.69,3.86,-6.45,2.69,-3.48,4.25
1966-11,1.4,4.24,-4.69,1.4,3.34,-4.69,4.13,-6.62
1966-12,0.13,1.97,-1.19,0.13,2.02,-1.19,0.7,-0.34
1967-01,8.15,8.32,2.27,8.15,9.1,2.27,0.96,-3.16
1967-02,0.78,3.35,-2.22,0.78,3.06,-2.22,1.99,-0.99
1967-03,3.99,1.55,0.37,3.99,1.87,0.37,0.86,-1.6
1967-04,3.89,0.63,-2.48,3.89,0.43,-2.48,2.33,-3.67
1967-05,-4.33,1.9,1.09,-4.33,2.29,1.09,-1.73,1.73
1967-06,2.41,5.93,0.85,2.41,6.43,0.85,-0.62,-2.42
1967-07,4.58,3.12,2.73,4.58,3.54,2.73,0.48,2.7
1967-08,-0.89,0.42,1.44,-0.89,0.72,1.44,0.3,1.45
1967-09,3.11,3.06,-2.5,3.11,2.44,-2.5,0.2,-0.95
1967-10,-3.09,1.46,-3.3,-3.09,0.53,-3.3,1.01,-2.62
1967-11,0.37,0.21,-1.7,0.37,-0.04,-1.7,1.34,-2.34
1967-12,3.05,5.73,-0.53,3.05,5.75,-0.53,-0.81,0.13
1968-01,-4.06,3.92,4.8,-4.06,4.51,4.8,-4.62,6.46
1968-02,-3.75,-2.94,1.28,-3.75,-2.91,1.28,-0.16,2.45
1968-03,0.2,-1.34,-0.59,0.2,-1.59,-0.59,1.05,-1.1
1968-04,9.05,5.68,-1.13,9.05,6.18,-1.13,2.69,-3.65
1968-05,2.28,6.4,0.85,2.28,7.0,0.85,0.43,-1.92
1968-06,0.69,-0.19,0.73,0.69,-0.28,0.73,-1.41,2.76
1968-07,-2.72,-1.36,5.39,-2.72,-1.41,5.39,-3.13,3.72
1968-08,1.34,2.34,1.01,1.34,2.27,1.01,-0.7,0.48
1968-09,4.03,2.8,0.3,4.03,2.81,0.3,-1.99,0.87
1968-10,0.42,-0.48,2.86,0.42,-0.42,2.86,-1.32,2.7
1968-11,5.43,2.34,-0.92,5.43,2.39,-0.92,0.43,-2.43
1968-12,-3.94,3.37,-0.01,-3.94,3.52,-0.01,-1.86,1.76
1969-01,-1.25,-0.74,1.67,-1.25,-0.44,1.67,-1.55,1.38
1969-02,-5.84,-3.92,0.91,-5.84,-4.16,0.91,2.07,0.83
